user_id,amount,hour_of_day,pin_attempts,is_new_location,txn_frequency_10min,amount_vs_avg,label
108,16517,13,1,0,10,0.101,0
38,3663,12,1,0,3,0.267,0
127,1075,15,1,0,10,0.283,0
120,1153,9,1,0,5,0.231,0
69,6364,21,1,1,10,0.273,0
192,5649,13,1,1,10,0.13,0
84,13328,21,1,1,10,0.111,0
22,3375,8,1,1,10,0.325,0
92,3949,14,1,0,1,0.21,0
6,14010,13,1,0,10,0.066,0
164,4897,23,1,0,7,0.021,1
8,2002,7,1,0,10,0.335,0
42,4928,10,1,1,7,2.285,1
174,1799,13,1,0,10,0.199,0
145,8751,13,1,0,10,0.75,0
64,1157,16,1,0,10,0.229,0
51,8427,13,1,0,6,0.438,0
14,20791,1,1,0,10,0.386,1
199,1408,15,1,0,10,0.061,0
127,2241,11,1,0,10,0.494,0
190,12063,11,1,1,10,0.196,0
147,1556,10,1,0,10,0.037,0
192,5756,11,1,0,10,0.151,0
31,13107,9,2,0,10,0.126,0
184,15649,13,1,0,7,0.043,1
61,6082,1,1,0,10,0.216,1
35,11010,12,1,0,10,0.266,0
63,5115,13,1,0,7,0.023,0
39,6530,19,1,0,10,0.306,0
30,15936,20,1,0,10,0.062,0
39,4134,17,1,0,2,0.173,0
178,862,15,1,0,10,0.425,0
177,1408,12,1,0,10,0.061,0
51,15728,12,1,0,10,0.049,0
159,4231,15,1,0,10,0.154,0
87,6822,15,1,1,10,0.364,0
87,8257,17,1,0,10,0.651,0
44,11650,11,1,0,8,0.223,0
35,14101,10,1,0,5,0.06,0
112,2620,10,1,0,10,0.747,0
33,1577,15,1,0,10,0.051,0
115,2705,9,1,0,10,0.459,0
99,5264,14,1,0,6,0.053,0
119,1133,11,1,0,5,0.245,0
170,964,14,1,0,10,0.357,0
25,6004,8,1,0,1,0.201,0
61,3291,12,1,0,10,0.342,0
27,10896,14,1,0,10,0.274,0
47,18536,6,1,0,2,0.236,0
106,18357,16,1,0,4,0.224,0
87,15316,9,1,1,10,2.063,1
76,5310,11,1,1,10,2.54,1
120,1304,15,1,0,7,0.131,0
123,1073,14,1,0,10,0.285,0
194,18746,11,1,0,10,0.25,0
55,1564,12,1,0,10,0.043,0
198,17644,18,1,0,10,0.176,0
152,2402,8,1,0,10,0.601,0
176,14684,13,1,0,10,0.021,0
133,1261,13,1,0,10,0.159,0
85,1246,12,1,0,10,0.169,0
158,4479,12,1,1,10,0.104,0
55,1777,14,1,0,10,0.185,0
139,7147,15,1,0,7,0.429,0
62,5882,11,1,0,5,0.176,0
25,6583,14,1,0,10,0.317,0
190,11651,18,1,0,10,0.223,0
80,1230,7,1,0,10,0.18,0
171,8719,16,1,0,2,0.419,0
104,6879,2,3,1,7,3.586,1
66,5489,15,1,0,10,0.098,0
48,1787,17,1,0,10,0.191,0
91,1369,15,2,1,10,0.087,0
153,4368,16,1,0,10,0.126,0
154,1269,10,1,0,10,0.154,0
27,19719,8,1,0,10,0.315,0
29,6046,14,1,0,10,0.209,0
24,1441,13,1,0,10,0.039,0
189,7118,16,1,0,10,0.424,0
9,1180,14,1,0,10,0.213,0
2,6728,16,1,0,10,0.346,0
45,1617,14,1,0,7,0.078,1
156,1795,15,1,0,10,0.197,0
83,6392,13,2,0,10,0.278,0
117,5223,16,1,1,10,0.045,0
157,1073,18,1,1,10,0.285,0
184,17022,13,1,0,10,0.135,0
186,6066,17,1,0,10,0.213,0
184,18461,11,1,0,10,0.231,0
4,62851,2,3,1,10,3.19,1
146,6535,4,1,0,7,0.307,1
86,3682,16,1,0,10,0.264,0
54,910,15,1,0,10,0.393,0
135,3944,6,1,0,10,0.211,0
0,18366,12,1,0,10,0.224,0
178,1896,15,1,0,10,0.264,0
136,5669,13,1,0,10,0.134,0
159,3970,23,1,0,10,0.206,1
8,2140,10,1,0,10,0.427,0
117,5618,9,1,0,10,0.124,0
134,16885,10,1,0,3,0.126,0
88,52160,10,1,1,7,2.477,1
101,4679,6,1,0,10,0.064,0
173,7086,10,1,0,10,0.417,0
199,5311,14,1,1,10,2.541,1
113,18408,12,2,0,10,0.227,0
102,1290,14,1,0,10,0.14,0
183,1332,18,1,0,1,0.112,0
91,1625,10,1,0,10,0.083,0
102,1357,9,1,0,10,0.095,0
118,17533,12,1,0,7,0.169,0
10,1127,17,1,0,10,0.249,0
99,5213,11,1,0,10,0.043,0
84,18212,8,1,0,10,0.214,0
117,5204,22,1,0,1,0.041,0
21,2679,0,1,0,7,0.786,1
8,1024,16,1,0,10,0.317,0
131,18774,13,1,0,10,0.252,0
44,54622,5,2,1,7,2.641,1
86,19727,5,4,1,10,2.945,1
162,826,11,1,0,10,0.449,0
86,7280,10,1,1,10,0.456,0
143,16139,19,1,0,10,0.076,0
142,1219,10,1,0,0,0.187,0
32,3436,11,1,0,10,0.313,0
100,2400,16,1,0,10,0.6,0
139,6449,9,1,0,10,0.29,0
26,4430,15,1,1,10,0.114,0
45,100,15,1,0,10,0.933,0
33,1687,9,1,0,0,0.125,0
102,1049,22,1,0,10,0.301,0
167,16852,15,1,0,8,0.123,0
78,5516,12,1,0,10,0.103,0
96,981,19,1,0,10,0.346,0
27,11149,17,1,0,10,0.257,0
163,4495,22,1,0,10,0.101,0
148,1541,13,2,1,10,0.027,0
80,615,16,1,0,10,0.59,0
0,11898,19,1,0,10,0.207,0
4,18560,9,1,0,2,0.237,0
60,17699,13,2,0,2,0.18,0
28,14856,9,2,0,6,0.01,0
65,12361,13,1,0,10,0.176,0
174,2409,16,1,1,10,0.606,0
27,8559,10,1,0,10,0.429,0
26,21717,4,3,1,10,3.343,1
77,4857,18,1,0,7,0.029,1
179,2146,11,1,1,10,0.431,0
111,13868,12,1,0,10,0.075,0
125,1480,17,1,0,10,0.013,0
108,16207,14,1,0,10,0.08,0
91,1647,17,1,0,10,0.098,0
120,100,7,1,0,10,0.933,0
144,2173,15,1,1,8,0.449,0
72,1525,15,1,0,10,0.017,0
61,4726,7,1,0,10,0.055,0
182,950,12,1,0,10,0.367,0
67,19166,7,1,0,10,0.278,0
43,4705,12,1,0,2,0.059,0
147,1026,21,1,0,8,0.316,0
152,2383,16,1,0,10,0.589,0
56,4538,15,1,0,9,0.092,0
129,830,13,1,0,10,0.447,0
183,2301,15,1,0,10,0.534,0
11,11975,12,1,0,10,0.202,0
162,2191,12,1,0,10,0.461,0
35,62372,2,3,1,10,3.158,1
37,1846,8,1,0,7,0.231,0
196,646,11,1,0,6,0.569,0
6,11212,21,1,0,10,0.253,0
199,2098,13,1,0,10,0.399,0
169,5473,6,1,1,10,0.095,0
47,14848,14,1,0,10,0.01,0
150,5338,20,1,0,7,0.068,1
19,2372,9,1,1,10,0.526,0
128,1677,14,1,0,10,0.118,0
14,9005,16,1,0,10,0.4,0
13,15220,18,1,0,10,0.015,0
185,15665,15,1,0,10,0.044,0
51,18100,13,1,0,10,0.207,0
151,3827,18,1,0,10,0.235,0
17,2889,13,1,0,10,0.422,0
32,4645,12,1,0,10,0.071,0
176,21774,14,1,0,10,0.452,0
82,10532,10,1,0,10,0.298,0
154,487,12,1,1,6,0.675,0
102,1166,18,1,0,10,0.223,0
35,16575,15,1,0,10,0.105,0
149,4476,12,1,0,2,0.105,0
195,3781,22,1,0,10,0.244,0
133,1552,17,1,1,2,0.035,0
111,12807,16,1,0,10,0.146,0
113,10764,10,1,0,10,0.282,0
20,3906,10,1,0,10,0.219,0
37,1043,13,1,0,10,0.305,0
160,5082,17,1,0,10,0.016,0
97,8776,14,1,0,5,0.415,0
10,1962,13,2,0,10,0.308,0
188,14882,15,1,0,6,0.008,0
192,2998,14,1,0,2,0.4,0
101,6289,12,1,0,10,0.258,0
144,2622,6,1,0,10,0.748,0
40,6779,17,2,0,10,0.356,0
37,1333,15,1,0,9,0.111,0
84,10476,12,1,0,10,0.302,0
17,5466,14,1,1,7,0.093,0
198,13354,14,1,0,6,0.11,0
44,18380,12,1,0,7,0.225,0
17,6073,15,2,0,9,0.215,0
192,5430,12,1,0,10,0.086,0
128,1537,21,1,0,10,0.025,0
81,9276,13,1,0,1,0.382,0
64,1517,10,1,0,7,0.011,0
9,614,17,1,0,10,0.591,0
178,804,17,1,0,10,0.464,0
62,5816,6,1,0,10,0.163,0
104,1737,10,1,1,10,0.158,0
6,17145,13,1,0,6,0.143,0
161,1733,13,1,0,10,0.155,0
0,15176,22,1,0,10,0.012,0
80,1698,9,2,1,8,0.132,0
113,20301,11,1,0,10,0.353,0
155,19026,15,1,0,10,0.268,0
101,8561,13,1,0,10,0.712,0
110,7255,12,1,0,1,0.451,0
145,5377,15,1,0,6,0.075,0
0,31091,18,4,0,10,1.073,1
179,3021,16,4,0,10,1.014,1
2,4375,14,1,0,10,0.125,0
128,2195,12,1,1,10,0.463,0
61,5784,7,1,0,10,0.157,0
50,8581,12,1,0,10,0.716,0
199,1293,6,1,0,10,0.138,0
38,6693,11,1,0,10,0.339,0
85,1472,7,1,0,10,0.019,0
124,2211,2,1,0,10,0.474,1
138,755,18,1,0,10,0.497,0
192,5300,14,1,0,10,0.06,0
136,4567,20,1,0,7,0.087,1
126,19788,12,1,0,10,0.319,0
8,845,10,1,0,10,0.437,0
131,19176,12,1,0,1,0.278,0
36,6914,13,1,1,10,0.383,0
30,15522,12,1,0,0,0.035,0
34,1107,9,1,0,3,0.262,0
13,10590,12,1,1,9,0.294,0
24,1572,14,1,0,10,0.048,0
61,5375,18,1,1,10,0.075,0
10,2661,16,1,1,10,0.774,0
18,1336,12,1,0,10,0.109,0
108,14604,14,1,0,7,0.026,0
94,1801,13,1,0,10,0.201,0
14,15064,19,1,0,10,0.004,0
190,19488,11,1,0,10,0.299,0
147,1779,12,1,0,10,0.186,0
125,1418,6,1,0,10,0.055,0
77,6671,9,1,0,9,0.334,0
145,4510,14,1,0,10,0.098,0
110,6976,15,1,0,10,0.395,0
81,11760,15,1,1,10,0.216,0
140,4603,16,2,0,10,0.079,0
113,10719,21,1,1,4,0.285,0
186,4550,10,1,0,10,0.09,0
26,6411,8,1,0,10,0.282,0
72,1616,16,1,0,2,0.077,0
165,11869,6,1,0,10,0.209,0
117,4293,7,1,0,9,0.141,0
172,929,9,1,0,10,0.381,0
195,3925,13,1,0,10,0.215,0
81,14140,9,1,0,3,0.057,0
11,12202,19,1,0,10,0.187,0
44,23675,1,1,0,10,0.578,1
175,4265,13,1,0,10,0.147,0
147,3107,18,3,0,10,1.071,1
158,7003,4,1,0,10,0.401,1
88,9856,18,1,0,10,0.343,0
89,17642,9,1,1,7,2.528,1
93,10692,16,1,1,10,0.287,0
149,7216,17,2,0,10,0.443,0
112,2084,18,1,1,2,0.389,0
56,6598,14,1,0,0,0.32,0
63,5579,14,2,0,10,0.116,0
103,24852,13,1,1,10,0.657,0
181,2068,14,1,0,10,0.379,0
96,1090,18,1,0,10,0.273,0
123,1578,15,1,1,10,0.052,0
132,1794,10,1,0,10,0.196,0
55,1468,16,1,0,6,0.021,0
85,2963,4,1,0,10,0.975,1
146,6566,14,1,0,10,0.313,0
113,13676,9,1,1,8,0.088,0
95,4455,22,1,0,2,0.109,0
5,18504,16,2,0,6,0.234,0
28,14249,14,1,0,10,0.05,0
74,1303,15,1,0,10,0.131,0
24,1524,17,1,0,10,0.016,0
157,1792,16,1,0,10,0.195,0
65,12529,22,1,0,6,0.165,0
142,596,16,1,0,10,0.603,0
118,7827,15,1,0,10,0.478,0
151,5122,16,1,0,10,0.024,0
34,1729,9,1,0,10,0.153,0
10,1246,6,1,0,10,0.169,0
103,18099,16,2,0,10,0.207,0
115,4827,10,1,0,1,0.035,0
38,4174,17,1,0,10,0.165,0
187,8261,13,1,1,10,0.449,0
108,18881,13,1,0,10,0.259,0
75,4870,13,2,0,10,0.026,0
50,4308,13,1,0,7,0.138,1
177,2334,12,1,0,0,0.556,0
183,1808,19,1,0,10,0.205,0
41,3207,13,2,0,9,0.359,0
127,2409,15,1,0,10,0.606,0
116,19111,10,1,0,10,0.274,0
91,1528,9,1,0,10,0.019,0
181,1795,11,1,0,10,0.197,0
20,4899,9,1,0,10,0.02,0
105,8620,23,1,0,10,0.724,1
126,15035,17,1,0,10,0.002,0
194,12100,17,1,0,10,0.193,0
46,9041,15,1,0,10,0.397,0
15,4125,13,1,0,10,0.175,0
172,1537,20,1,1,1,0.025,0
150,5913,14,1,0,8,0.183,0
169,5493,17,1,0,0,0.099,0
186,4709,20,1,0,10,0.058,0
63,10850,20,5,0,10,1.17,1
187,7375,11,1,0,10,0.508,0
108,15555,11,1,0,10,0.037,0
118,15406,13,1,0,10,0.027,0
36,3721,12,1,1,10,0.256,0
194,15882,15,1,0,10,0.059,0
101,5026,19,1,0,10,0.005,0
82,10915,17,1,0,10,0.272,0
177,1243,18,1,0,7,0.171,0
15,5208,12,1,0,7,0.042,1
176,6288,8,1,0,10,0.581,0
35,8095,14,1,0,10,0.46,0
60,21705,14,2,0,1,0.447,0
153,6957,15,1,0,10,0.391,0
134,21922,17,1,0,10,0.461,0
157,1292,15,1,0,2,0.139,0
173,3455,12,1,0,10,0.309,0
118,15254,14,1,0,10,0.017,0
79,4185,6,1,0,10,0.163,0
73,742,14,1,0,10,0.505,0
192,4098,14,1,0,10,0.18,0
102,877,10,1,0,4,0.415,0
199,2194,11,1,0,8,0.463,0
75,6273,16,1,0,7,0.255,0
16,3721,22,1,0,10,0.256,0
151,5690,12,1,0,10,0.138,0
167,6801,11,1,1,10,0.547,0
88,12428,8,1,0,10,0.171,0
195,5422,19,1,0,10,0.084,0
100,1516,15,1,0,10,0.011,0
189,6485,17,1,0,10,0.297,0
79,20518,3,3,1,10,3.104,1
93,17328,11,1,0,4,0.155,0
155,16135,13,2,0,10,0.076,0
140,5243,13,1,0,7,0.049,1
30,16767,14,1,0,3,0.118,0
132,1049,20,1,1,10,0.301,0
164,7525,12,2,0,10,0.505,0
21,2705,9,1,0,9,0.803,0
171,19229,18,2,0,5,0.282,0
100,2130,14,1,0,10,0.42,0
17,3732,9,2,1,10,0.254,0
142,2306,15,1,0,10,0.537,0
192,4638,11,1,0,10,0.072,0
162,602,10,1,0,10,0.599,0
172,3369,2,1,0,10,1.246,1
121,7735,13,2,0,10,0.547,0
173,4317,7,1,0,10,0.137,0
126,15771,10,1,0,10,0.051,0
169,5442,11,1,0,10,0.088,0
106,10383,7,1,0,10,0.308,0
194,17704,14,1,0,10,0.18,0
141,5002,14,1,0,10,0.0,0
130,2176,7,1,0,1,0.451,0
107,1913,13,1,1,10,0.275,0
77,4571,16,1,0,7,0.086,1
199,5305,8,1,1,10,2.537,1
178,1551,15,1,0,10,0.034,0
145,3574,10,1,0,10,0.285,0
27,15037,12,1,0,10,0.002,0
148,1399,14,1,0,10,0.067,0
182,5925,2,4,1,7,2.95,1
3,665,18,1,0,10,0.557,0
43,4151,10,1,1,10,0.17,0
50,17314,20,1,1,7,2.463,1
93,16995,14,1,0,7,0.133,1
47,20273,6,1,1,7,0.352,0
150,4878,11,1,0,10,0.024,0
14,14525,12,1,0,10,0.032,0
15,6238,11,1,0,10,0.248,0
169,7380,10,1,0,10,0.476,0
33,2022,18,2,1,10,0.348,0
160,4349,18,1,0,10,0.13,0
104,1879,11,1,1,10,0.253,0
19,5834,19,1,0,6,0.167,0
131,13766,21,1,0,10,0.082,0
107,2365,13,1,0,10,0.577,0
56,4922,18,1,0,3,0.016,0
50,5126,11,1,0,8,0.025,0
171,19279,15,1,0,6,0.285,0
12,14800,9,1,0,9,0.013,0
72,1485,15,1,1,10,0.01,0
87,4801,14,1,0,10,0.04,0
110,3793,16,1,0,3,0.241,0
128,1012,16,1,0,10,0.325,0
51,16578,14,1,0,10,0.105,0
137,5950,5,3,1,10,2.967,1
66,11581,17,5,0,10,1.316,1
88,15561,17,1,0,10,0.037,0
96,2803,4,1,0,10,0.869,1
45,5115,17,1,1,7,2.41,1
125,1143,11,1,0,10,0.238,0
27,11358,18,1,0,10,0.243,0
7,7455,14,1,1,10,0.503,0
127,1037,8,1,0,10,0.309,0
134,33423,9,5,0,7,1.228,1
152,1548,11,1,0,10,0.032,0
188,6940,16,1,1,10,0.537,0
46,12895,15,1,0,6,0.14,0
187,15979,18,1,1,10,0.065,0
103,13773,18,1,0,10,0.082,0
40,5858,12,2,0,10,0.172,0
124,1001,12,1,0,10,0.333,0
191,2646,19,1,0,10,0.471,0
124,1260,12,1,1,5,0.16,0
144,1760,11,1,0,10,0.173,0
29,6747,7,1,0,8,0.349,0
4,9740,12,1,0,10,0.351,0
138,1961,17,1,0,10,0.307,0
139,5463,16,1,0,10,0.093,0
122,15736,8,1,0,10,0.049,0
194,65529,5,3,1,7,3.369,1
197,4432,10,1,0,10,0.114,0
128,1333,14,1,0,10,0.111,0
24,1198,14,1,0,10,0.201,0
26,5817,11,1,0,10,0.163,0
195,4359,13,1,0,4,0.128,0
102,1562,21,1,0,10,0.041,0
65,11413,13,1,0,5,0.239,0
131,15957,11,1,0,2,0.064,0
107,1116,15,1,0,10,0.256,0
83,5021,19,1,0,10,0.004,0
62,3907,14,2,0,10,0.219,0
102,925,14,1,0,10,0.383,0
136,4495,18,1,0,8,0.101,0
25,2582,8,1,0,10,0.484,0
16,5551,13,1,0,10,0.11,0
126,21730,13,1,0,10,0.449,0
105,4873,10,1,0,7,0.025,1
124,5171,19,1,1,10,2.447,1
112,1528,14,1,0,10,0.019,0
9,1140,6,1,0,2,0.24,0
103,13730,6,1,0,10,0.085,0
185,10587,22,1,0,3,0.294,0
178,1199,15,1,0,10,0.201,0
150,4550,13,2,0,5,0.09,0
124,525,15,1,0,10,0.65,0
197,6845,15,1,0,10,0.369,0
180,1456,6,1,0,8,0.029,0
100,910,11,1,0,10,0.393,0
84,54049,18,1,1,7,2.603,1
177,1532,15,1,0,10,0.021,0
46,22381,14,1,0,10,0.492,0
9,1779,15,1,0,10,0.186,0
6,19980,11,1,0,10,0.332,0
142,1481,10,1,0,10,0.013,0
89,6780,18,1,0,6,0.356,0
99,10228,16,4,0,10,1.046,1
35,13123,19,1,1,10,0.125,0
162,2307,18,1,0,10,0.538,0
94,1773,17,1,0,6,0.182,0
198,15591,22,1,0,10,0.039,0
154,1825,16,1,0,10,0.217,0
169,3593,15,1,1,9,0.281,0
55,1223,20,2,0,3,0.185,0
82,8521,10,1,1,10,0.432,0
45,1627,16,1,0,10,0.085,0
91,1357,19,1,0,10,0.095,0
149,5294,18,1,0,10,0.059,0
38,4131,13,1,1,8,0.174,0
84,16062,16,1,0,7,0.071,1
110,4170,10,1,0,10,0.166,0
171,18241,17,1,0,10,0.216,0
177,1718,22,1,0,10,0.145,0
24,1260,17,1,1,10,0.16,0
152,1026,13,1,0,10,0.316,0
179,2409,12,1,0,10,0.606,0
43,4640,6,1,0,10,0.072,0
118,2293,9,1,0,10,0.847,0
2,4978,12,1,0,10,0.004,0
163,5704,15,2,0,10,0.141,0
24,1257,19,1,0,10,0.162,0
134,15842,18,1,0,10,0.056,0
195,5192,17,1,1,10,0.038,0
7,16428,10,1,0,10,0.095,0
23,1064,15,1,0,10,0.291,0
155,13186,12,1,0,9,0.121,0
103,20456,14,1,0,1,0.364,0
93,18978,11,1,1,10,0.265,0
162,894,17,1,0,10,0.404,0
128,1039,10,1,1,10,0.307,0
105,5089,14,1,0,10,0.018,0
134,15452,12,1,0,9,0.03,0
89,4274,16,1,0,10,0.145,0
104,1977,16,1,0,4,0.318,0
12,11554,15,1,0,10,0.23,0
131,7654,12,1,0,4,0.49,0
176,13884,10,1,0,10,0.074,0
51,10506,22,1,0,10,0.3,0
16,4433,13,2,1,10,0.113,0
107,1194,11,1,0,10,0.204,0
165,13063,9,1,0,10,0.129,0
